-500	1
-467	1
-456	1
-453	1
-447	1
-444	1
-442	2
-437	2
-433	1
-432	1
-431	1
-430	1
-428	2
-424	3
-422	1
-421	1
-420	2
-417	1
-414	1
-413	1
-412	1
-411	1
-410	1
-407	1
-405	2
-404	1
-403	1
-402	4
-400	1
-398	2
-397	1
-396	2
-395	2
-392	1
-391	2
-390	2
-389	3
-388	2
-387	4
-386	1
-385	3
-384	5
-383	1
-382	3
-380	3
-379	3
-378	3
-377	2
-376	3
-375	2
-374	2
-373	2
-372	2
-370	4
-368	3
-367	3
-366	2
-365	2
-364	3
-363	4
-362	4
-361	4
-360	1
-359	3
-358	2
-357	3
-356	6
-355	3
-354	2
-353	6
-352	4
-351	5
-350	3
-349	5
-348	6
-347	5
-346	5
-345	5
-344	11
-343	7
-342	5
-341	3
-340	7
-339	8
-338	7
-337	10
-336	6
-335	8
-334	9
-333	9
-332	6
-331	7
-330	11
-329	4
-328	11
-327	9
-326	11
-325	11
-324	8
-323	10
-322	11
-321	10
-320	7
-319	11
-318	7
-317	15
-316	15
-315	9
-314	8
-313	17
-312	12
-311	14
-310	20
-309	17
-308	19
-307	19
-306	16
-305	15
-304	18
-303	22
-302	16
-301	26
-300	22
-299	23
-298	25
-297	23
-296	27
-295	26
-294	24
-293	28
-292	24
-291	27
-290	33
-289	28
-288	28
-287	41
-286	32
-285	38
-284	29
-283	24
-282	39
-281	49
-280	24
-279	39
-278	31
-277	31
-276	45
-275	47
-274	38
-273	47
-272	44
-271	60
-270	50
-269	36
-268	42
-267	43
-266	65
-265	61
-264	52
-263	51
-262	47
-261	53
-260	63
-259	60
-258	54
-257	64
-256	62
-255	79
-254	68
-253	86
-252	65
-251	89
-250	78
-249	81
-248	75
-247	78
-246	84
-245	92
-244	100
-243	84
-242	78
-241	84
-240	95
-239	96
-238	113
-237	102
-236	96
-235	122
-234	94
-233	119
-232	138
-231	137
-230	130
-229	120
-228	157
-227	139
-226	133
-225	133
-224	153
-223	159
-222	141
-221	156
-220	173
-219	174
-218	192
-217	172
-216	177
-215	183
-214	161
-213	181
-212	201
-211	187
-210	215
-209	199
-208	247
-207	227
-206	217
-205	213
-204	237
-203	218
-202	216
-201	266
-200	231
-199	260
-198	237
-197	270
-196	260
-195	285
-194	249
-193	298
-192	292
-191	292
-190	324
-189	315
-188	299
-187	309
-186	342
-185	330
-184	349
-183	344
-182	396
-181	355
-180	396
-179	371
-178	375
